ma_phieu,gioi_tinh,nhom_tuoi,kinh_nghiem,quy_mo_dn,nganh,DL1,DL2,DL3,DL4,KS1,KS2,KS3,KS4,IP1,IP2,IP3,IP4
R067,Nữ,50 trở lên,3-5 năm,Nhỏ,Sản xuất,3,3,2,3,3,2,4,2,2,3,3,4
R068,Nam,40-49,6-10 năm,Nhỏ,Sản xuất,4,4,2,4,4,3,3,5,4,4,3,4
R069,Nữ,Dưới 30,3-5 năm,Nhỏ,Công nghệ thông tin,2,3,3,2,3,4,2,4,5,3,4,5
R070,Nam,30-39,3-5 năm,Nhỏ,Thương mại-Dịch vụ,3,4,4,4,4,3,4,3,4,4,5,5
R071,Nam,30-39,Trên 10 năm,Nhỏ,Công nghệ thông tin,3,2,3,2,3,4,4,3,2,3,4,3
R072,Nữ,Dưới 30,Dưới 3 năm,Nhỏ,Xây dựng,3,3,3,3,1,1,1,1,3,3,4,3
R073,Nam,30-39,6-10 năm,Siêu nhỏ,Thương mại-Dịch vụ,5,,5,5,4,2,3,4,4,4,4,5
R074,Nữ,30-39,Trên 10 năm,Vừa,Thương mại-Dịch vụ,3,3,3,3,4,3,4,4,4,2,4,4
R075,Nam,Dưới 30,Dưới 3 năm,Nhỏ,Thương mại-Dịch vụ,4,4,3,5,3,4,4,5,3,4,3,3
R076,Nam,30-39,3-5 năm,Siêu nhỏ,Thương mại-Dịch vụ,3,3,4,2,4,4,5,4,3,4,5,4
R077,Nam,40-49,Trên 10 năm,Vừa,Thương mại-Dịch vụ,4,3,4,4,3,3,5,3,4,7,3,4
R078,Nam,Dưới 30,Dưới 3 năm,Nhỏ,Sản xuất,4,4,3,2,4,1,2,2,3,2,3,3
R079,Nữ,50 trở lên,3-5 năm,Vừa,Sản xuất,4,4,4,5,4,4,4,4,5,4,4,5
R080,Nữ,30-39,Trên 10 năm,Siêu nhỏ,Thương mại-Dịch vụ,3,4,3,4,2,4,2,3,2,5,3,2
R081,Nữ,50 trở lên,Dưới 3 năm,Nhỏ,Công nghệ thông tin,4,5,5,4,3,3,4,3,3,3,3,3
R082,Nữ,30-39,Dưới 3 năm,Siêu nhỏ,Sản xuất,3,1,3,3,3,3,2,3,2,2,4,4
R083,Nữ,40-49,3-5 năm,Nhỏ,Công nghệ thông tin,3,3,4,3,3,3,4,3,4,3,3,3
R084,Nam,40-49,Dưới 3 năm,Siêu nhỏ,Sản xuất,3,3,4,4,3,3,4,4,3,3,4,4
R085,Nữ,30-39,Dưới 3 năm,Siêu nhỏ,Sản xuất,4,3,4,4,4,5,5,4,5,5,5,5
R086,Nam,50 trở lên,3-5 năm,Nhỏ,Thương mại-Dịch vụ,3,2,3,3,4,4,3,4,3,4,4,3
R087,Nữ,Dưới 30,3-5 năm,Siêu nhỏ,Sản xuất,2,3,3,2,2,4,3,5,3,3,3,3
R088,Nữ,40-49,Trên 10 năm,Nhỏ,Sản xuất,3,3,4,3,4,5,4,5,4,4,4,4
R089,Nam,30-39,Trên 10 năm,Nhỏ,Thương mại-Dịch vụ,3,2,3,3,,3,3,3,3,4,4,1
R090,Nam,50 trở lên,Dưới 3 năm,Vừa,Sản xuất,3,3,3,4,4,3,3,3,4,4,4,3
R091,Nam,30-39,3-5 năm,Nhỏ,Thương mại-Dịch vụ,4,5,5,4,3,3,3,3,4,4,4,3
R092,Nữ,40-49,Dưới 3 năm,Siêu nhỏ,Công nghệ thông tin,2,3,3,2,2,4,3,2,3,2,3,3
R093,Nam,30-39,3-5 năm,Siêu nhỏ,Thương mại-Dịch vụ,2,3,2,3,4,4,5,4,4,3,4,4
R094,Nữ,30-39,3-5 năm,Vừa,Sản xuất,3,2,3,3,3,2,3,2,1,2,1,2
R095,Nam,40-49,3-5 năm,Vừa,Thương mại-Dịch vụ,2,3,3,3,4,4,3,5,4,3,3,4
R096,Nam,Dưới 30,Dưới 3 năm,Nhỏ,Sản xuất,5,5,5,4,4,4,3,4,5,5,4,4
R097,Nam,30-39,Trên 10 năm,Nhỏ,Thương mại-Dịch vụ,3,3,3,3,4,4,4,3,4,4,5,4
R098,Nam,30-39,3-5 năm,Nhỏ,Công nghệ thông tin,4,4,4,3,3,4,4,4,4,5,4,5
R099,Nam,40-49,Dưới 3 năm,Vừa,Thương mại-Dịch vụ,3,3,3,3,3,4,3,4,3,4,4,4
R100,Nam,30-39,3-5 năm,Vừa,Công nghệ thông tin,2,2,2,3,4,3,4,4,2,2,3,3
R101,Nam,Dưới 30,Trên 10 năm,Vừa,Sản xuất,3,1,1,3,3,3,3,2,3,3,4,3
R102,Nữ,50 trở lên,3-5 năm,Nhỏ,Thương mại-Dịch vụ,4,3,3,5,5,5,4,5,4,4,4,
R103,Nam,30-39,3-5 năm,Siêu nhỏ,Thương mại-Dịch vụ,4,4,4,4,4,4,4,5,4,5,4,4
R104,Nam,Dưới 30,Trên 10 năm,Nhỏ,Sản xuất,3,2,3,3,2,2,4,3,2,3,2,1
R105,Nam,40-49,Dưới 3 năm,Nhỏ,Công nghệ thông tin,5,5,4,5,4,4,5,4,5,4,5,5
R106,Nam,40-49,Trên 10 năm,Nhỏ,Sản xuất,4,3,4,4,3,3,2,3,3,2,3,4
R107,Nữ,Dưới 30,Trên 10 năm,Nhỏ,Thương mại-Dịch vụ,3,4,3,4,4,3,3,3,5,5,5,5
R108,Nam,40-49,3-5 năm,Siêu nhỏ,Công nghệ thông tin,4,4,4,3,3,3,2,3,3,3,4,3
R109,Nữ,30-39,3-5 năm,Nhỏ,Thương mại-Dịch vụ,4,4,3,3,4,4,4,4,3,3,4,4
R110,Nam,30-39,6-10 năm,Siêu nhỏ,Khác,3,4,4,4,0,5,5,5,4,5,4,4
R111,Nữ,30-39,Trên 10 năm,Nhỏ,Thương mại-Dịch vụ,3,3,4,3,4,4,4,4,4,3,4,4
R112,Nữ,30-39,Dưới 3 năm,Siêu nhỏ,Công nghệ thông tin,2,2,1,1,4,3,2,3,3,2,2,3
R113,Nữ,40-49,3-5 năm,Siêu nhỏ,Công nghệ thông tin,3,4,4,3,3,2,3,2,2,2,1,3
R114,Nữ,50 trở lên,Trên 10 năm,Vừa,Thương mại-Dịch vụ,3,4,4,4,4,4,2,5,3,3,2,2
R115,Nam,Dưới 30,Trên 10 năm,Vừa,Công nghệ thông tin,3,3,3,3,5,4,3,5,5,4,5,4
R116,Nam,Dưới 30,6-10 năm,Vừa,Sản xuất,4,4,5,5,4,5,4,4,5,3,3,4
R117,Nam,40-49,3-5 năm,Nhỏ,Xây dựng,3,2,2,3,3,3,3,4,3,2,3,4
R118,Nam,40-49,3-5 năm,Nhỏ,Sản xuất,3,3,4,,2,3,3,3,3,3,4,3
R119,Nữ,Dưới 30,Trên 10 năm,Siêu nhỏ,Sản xuất,4,3,4,4,2,3,4,4,3,4,4,3
R120,Nam,30-39,3-5 năm,Siêu nhỏ,Công nghệ thông tin,4,3,3,4,2,2,2,3,2,4,4,4
R121,Nữ,30-39,Trên 10 năm,Vừa,Thương mại-Dịch vụ,4,4,4,5,5,4,5,5,4,4,4,4
R122,Nam,50 trở lên,6-10 năm,Nhỏ,Thương mại-Dịch vụ,3,3,2,2,4,5,3,4,3,4,2,5
R123,Nữ,40-49,3-5 năm,Nhỏ,Thương mại-Dịch vụ,3,3,2,2,4,4,3,3,3,2,3,4
R124,Nữ,50 trở lên,Dưới 3 năm,Nhỏ,Công nghệ thông tin,5,3,5,5,4,3,4,3,5,5,4,4
R125,Nam,30-39,3-5 năm,Vừa,Xây dựng,4,3,4,5,2,2,4,4,3,2,4,4
R126,Nữ,40-49,6-10 năm,Nhỏ,Thương mại-Dịch vụ,4,5,5,4,3,3,5,4,4,3,3,4
R127,Nữ,50 trở lên,Trên 10 năm,Nhỏ,Công nghệ thông tin,3,4,5,4,3,3,4,4,2,3,3,3
R128,Nam,30-39,3-5 năm,Nhỏ,Thương mại-Dịch vụ,4,4,3,5,5,3,4,3,5,5,4,5
R129,Nam,50 trở lên,Trên 10 năm,Siêu nhỏ,Sản xuất,4,4,1,3,3,3,3,4,3,3,4,4
R130,Nữ,30-39,3-5 năm,Nhỏ,Công nghệ thông tin,2,2,4,3,3,3,3,3,3,3,4,3
R131,Nữ,30-39,Trên 10 năm,Nhỏ,Công nghệ thông tin,1,1,1,3,3,3,2,3,2,2,1,3
R132,Nữ,Dưới 30,3-5 năm,Vừa,Xây dựng,3,3,3,3,3,3,2,1,3,2,2,1
R133,Nam,Dưới 30,3-5 năm,Nhỏ,Thương mại-Dịch vụ,3,5,3,4,2,3,3,3,5,3,3,5
R134,Nữ,30-39,6-10 năm,Nhỏ,Sản xuất,3,1,1,3,3,2,,2,2,3,1,2
R135,Nam,40-49,Trên 10 năm,Nhỏ,Xây dựng,3,4,3,3,5,4,4,4,5,5,4,5
R136,Nam,40-49,Dưới 3 năm,Nhỏ,Thương mại-Dịch vụ,4,5,5,5,3,3,4,3,4,4,5,4
R137,Nữ,40-49,3-5 năm,Vừa,Xây dựng,4,4,3,4,3,4,3,3,3,1,3,3
R138,Nam,Dưới 30,3-5 năm,Nhỏ,Thương mại-Dịch vụ,4,4,3,4,4,4,4,4,3,3,5,4
R139,Nữ,40-49,Trên 10 năm,Nhỏ,Sản xuất,3,3,3,3,2,2,2,2,4,3,4,3
R140,Nam,40-49,6-10 năm,Nhỏ,Sản xuất,2,2,3,2,1,2,3,1,2,2,3,2
R141,Nam,40-49,3-5 năm,Vừa,Sản xuất,5,5,3,4,5,4,5,5,4,5,4,5
R142,Nữ,Dưới 30,Dưới 3 năm,Nhỏ,Công nghệ thông tin,3,3,3,2,2,3,2,3,2,3,2,2
R143,Nữ,30-39,3-5 năm,Siêu nhỏ,Thương mại-Dịch vụ,3,5,4,3,3,3,3,3,3,3,3,3
R144,Nam,Dưới 30,Dưới 3 năm,Nhỏ,Thương mại-Dịch vụ,3,3,2,5,2,2,2,1,4,4,3,4
R145,Nam,Dưới 30,Trên 10 năm,Siêu nhỏ,Công nghệ thông tin,3,2,3,2,3,3,3,4,3,5,3,4
R146,Nam,30-39,3-5 năm,Siêu nhỏ,Thương mại-Dịch vụ,5,5,5,4,5,4,5,5,4,3,3,4
R147,Nam,30-39,3-5 năm,Vừa,Sản xuất,5,5,4,4,4,4,4,5,4,4,4,4
R148,Nữ,40-49,3-5 năm,Vừa,Công nghệ thông tin,3,4,5,4,1,2,3,3,3,3,3,3
R149,Nữ,50 trở lên,Trên 10 năm,Siêu nhỏ,Xây dựng,4,3,3,4,3,3,2,3,3,3,3,2
R150,Nữ,30-39,6-10 năm,Siêu nhỏ,Công nghệ thông tin,3,5,4,4,3,5,3,4,3,,4,3
R151,Nữ,Dưới 30,Dưới 3 năm,Siêu nhỏ,Sản xuất,2,2,4,3,3,3,3,3,3,3,3,3
R152,Nam,30-39,Trên 10 năm,Siêu nhỏ,Khác,4,3,3,3,4,4,4,3,4,3,3,3
R153,Nữ,50 trở lên,3-5 năm,Vừa,Thương mại-Dịch vụ,3,2,4,4,4,3,4,4,3,3,4,3
R154,Nam,50 trở lên,Dưới 3 năm,Siêu nhỏ,Khác,3,3,2,3,5,3,4,3,2,4,4,5
R155,Nam,30-39,Dưới 3 năm,Siêu nhỏ,Thương mại-Dịch vụ,3,5,5,4,5,3,4,3,4,5,5,5
R156,Nam,Dưới 30,6-10 năm,Nhỏ,Sản xuất,2,2,2,4,3,2,2,2,4,4,3,4
R157,Nam,30-39,Dưới 3 năm,Vừa,Sản xuất,2,3,3,3,3,4,4,4,4,4,2,2
R158,Nam,40-49,6-10 năm,Vừa,Công nghệ thông tin,2,2,2,1,1,2,3,2,3,2,3,3
R159,Nữ,40-49,6-10 năm,Vừa,Công nghệ thông tin,3,4,4,5,4,4,3,3,3,3,3,4
R160,Nam,30-39,Dưới 3 năm,Nhỏ,Thương mại-Dịch vụ,4,3,3,4,4,4,3,5,4,4,5,3
R161,Nữ,30-39,Trên 10 năm,Nhỏ,Thương mại-Dịch vụ,4,4,4,4,4,3,3,2,4,5,3,4
R162,Nữ,30-39,6-10 năm,Vừa,Công nghệ thông tin,5,5,5,5,4,4,5,5,5,4,4,5
R163,Nữ,50 trở lên,3-5 năm,Vừa,Thương mại-Dịch vụ,5,4,3,5,4,4,5,4,3,4,3,4
R164,Nam,Dưới 30,6-10 năm,Siêu nhỏ,Thương mại-Dịch vụ,3,2,4,3,3,5,3,4,4,3,4,3
R165,Nữ,30-39,3-5 năm,Nhỏ,Thương mại-Dịch vụ,5,5,5,5,3,4,4,3,4,5,4,5
R166,Nam,50 trở lên,6-10 năm,Nhỏ,Xây dựng,2,3,2,3,3,2,3,3,3,2,3,3
R167,Nam,30-39,Dưới 3 năm,Vừa,Thương mại-Dịch vụ,4,3,,4,4,5,5,4,3,3,3,3
R168,Nam,Dưới 30,3-5 năm,Siêu nhỏ,Sản xuất,4,4,4,5,5,4,5,5,4,4,5,4
R169,Nam,Dưới 30,Dưới 3 năm,Nhỏ,Công nghệ thông tin,3,2,2,3,3,2,2,2,4,2,4,3
R170,Nữ,50 trở lên,6-10 năm,Vừa,Xây dựng,5,3,4,5,4,3,3,3,3,4,4,3
R171,Nam,30-39,Dưới 3 năm,Siêu nhỏ,Xây dựng,3,3,5,3,5,4,5,3,4,4,5,5
R172,Nữ,50 trở lên,3-5 năm,Siêu nhỏ,Công nghệ thông tin,3,4,5,3,4,4,3,4,3,2,4,3
R173,Nữ,40-49,6-10 năm,Nhỏ,Xây dựng,2,4,3,4,3,3,3,3,2,1,1,2
R174,Nam,Dưới 30,Trên 10 năm,Vừa,Thương mại-Dịch vụ,4,5,4,5,4,4,3,5,4,4,4,2
R175,Nữ,30-39,6-10 năm,Vừa,Thương mại-Dịch vụ,3,3,3,2,3,3,3,3,3,3,2,3
R176,Nữ,30-39,3-5 năm,Nhỏ,Sản xuất,1,1,1,2,1,1,1,2,2,3,2,3
R177,Nữ,30-39,3-5 năm,Vừa,Thương mại-Dịch vụ,4,5,5,5,4,4,2,5,4,2,4,4
R178,Nữ,30-39,Trên 10 năm,Vừa,Sản xuất,3,2,3,4,2,2,3,3,3,3,2,3
R179,Nam,50 trở lên,Trên 10 năm,Nhỏ,Khác,4,3,3,4,4,5,5,5,2,3,3,3
R180,Nữ,40-49,3-5 năm,Vừa,Sản xuất,4,5,4,5,5,5,4,4,4,4,4,3
R181,Nam,50 trở lên,Trên 10 năm,Siêu nhỏ,Thương mại-Dịch vụ,5,5,3,5,5,,5,5,5,5,5,5
R182,Nam,30-39,3-5 năm,Siêu nhỏ,Công nghệ thông tin,3,3,3,4,4,4,4,4,3,3,3,3
R183,Nữ,40-49,Dưới 3 năm,Nhỏ,Sản xuất,4,4,4,5,2,3,3,4,4,4,4,3
R184,Nam,30-39,Trên 10 năm,Siêu nhỏ,Sản xuất,3,3,2,3,2,3,2,3,3,3,2,3
R185,Nam,30-39,Trên 10 năm,Nhỏ,Công nghệ thông tin,4,4,4,4,3,3,3,2,3,4,3,3
R186,Nữ,40-49,6-10 năm,Vừa,Thương mại-Dịch vụ,4,4,5,4,4,5,4,4,4,4,3,3
R187,Nữ,Dưới 30,Dưới 3 năm,Siêu nhỏ,Thương mại-Dịch vụ,4,3,3,5,5,4,4,4,3,4,4,3
R188,Nữ,30-39,6-10 năm,Nhỏ,Công nghệ thông tin,3,4,2,3,2,3,2,3,2,2,2,4
R189,Nữ,50 trở lên,6-10 năm,Vừa,Sản xuất,1,1,1,1,2,1,1,2,1,1,1,1
R190,Nam,40-49,Dưới 3 năm,Vừa,Sản xuất,4,3,5,4,5,3,4,2,4,4,4,5
R191,Nam,Dưới 30,Dưới 3 năm,Vừa,Khác,4,2,3,3,4,2,4,4,4,3,4,4
R192,Nam,Dưới 30,3-5 năm,Nhỏ,Thương mại-Dịch vụ,4,4,3,2,5,5,5,5,4,4,3,4
R193,Nam,Dưới 30,Trên 10 năm,Vừa,Công nghệ thông tin,4,3,3,4,4,3,5,4,4,3,4,4
R194,Nam,40-49,Dưới 3 năm,Siêu nhỏ,Công nghệ thông tin,3,4,3,5,3,3,4,3,4,4,4,4
R195,Nam,Dưới 30,Dưới 3 năm,Nhỏ,Công nghệ thông tin,4,3,4,3,4,4,4,4,3,3,4,4
R196,Nữ,Dưới 30,3-5 năm,Vừa,Thương mại-Dịch vụ,2,2,2,1,3,4,2,2,1,2,1,1
R197,Nam,Dưới 30,3-5 năm,Vừa,Thương mại-Dịch vụ,2,3,3,3,3,2,2,2,2,2,3,2
R198,Nam,Dưới 30,3-5 năm,Nhỏ,Sản xuất,4,3,4,3,3,5,3,4,3,4,4,3
R199,Nữ,Dưới 30,3-5 năm,Nhỏ,Khác,3,4,3,2,4,4,4,4,4,3,,3
R200,Nữ,Dưới 30,6-10 năm,Nhỏ,Thương mại-Dịch vụ,2,4,3,3,2,3,2,3,4,3,5,3
R201,Nam,30-39,3-5 năm,Nhỏ,Thương mại-Dịch vụ,3,3,4,3,4,3,4,4,4,4,4,4
R202,Nữ,40-49,6-10 năm,Siêu nhỏ,Thương mại-Dịch vụ,3,4,4,4,4,2,3,3,4,5,3,3
R203,Nữ,40-49,3-5 năm,Siêu nhỏ,Thương mại-Dịch vụ,3,4,4,4,4,4,5,5,5,5,4,9
R204,Nam,30-39,3-5 năm,Nhỏ,Thương mại-Dịch vụ,3,4,3,4,3,4,4,3,5,5,5,4
R205,Nam,Dưới 30,Dưới 3 năm,Siêu nhỏ,Công nghệ thông tin,3,3,4,3,4,3,4,3,4,3,3,4
R206,Nữ,50 trở lên,Dưới 3 năm,Siêu nhỏ,Sản xuất,4,4,3,4,5,4,4,4,5,5,4,3
R207,Nữ,30-39,3-5 năm,Siêu nhỏ,Sản xuất,2,2,2,3,3,2,3,3,4,4,3,4
R208,Nữ,Dưới 30,Trên 10 năm,Nhỏ,Thương mại-Dịch vụ,4,4,4,4,4,4,3,4,4,4,4,4
R209,Nam,30-39,Trên 10 năm,Nhỏ,Thương mại-Dịch vụ,3,4,4,2,5,5,5,5,4,4,3,3
R210,Nam,50 trở lên,Dưới 3 năm,Nhỏ,Sản xuất,4,3,3,3,3,4,2,4,5,5,4,5
R211,Nữ,50 trở lên,Trên 10 năm,Siêu nhỏ,Thương mại-Dịch vụ,3,3,3,4,5,4,4,5,3,3,2,3
R212,Nam,30-39,3-5 năm,Vừa,Thương mại-Dịch vụ,3,4,3,5,3,4,4,4,3,4,4,5
R213,Nữ,Dưới 30,Dưới 3 năm,Nhỏ,Sản xuất,5,4,3,5,3,4,2,2,5,5,4,4
R214,Nữ,50 trở lên,Dưới 3 năm,Nhỏ,Sản xuất,3,2,2,3,3,3,3,3,3,3,3,3
R215,Nữ,30-39,Dưới 3 năm,Siêu nhỏ,Công nghệ thông tin,4,2,4,2,3,3,2,2,3,3,3,2
R216,Nữ,40-49,Dưới 3 năm,Nhỏ,Sản xuất,4,3,3,4,4,3,4,4,3,3,4,4
R217,Nam,40-49,3-5 năm,Nhỏ,Công nghệ thông tin,3,3,3,2,2,2,3,4,2,2,3,3
R218,Nam,40-49,Trên 10 năm,Nhỏ,Công nghệ thông tin,3,4,2,2,3,3,3,3,4,4,5,4
R219,Nam,50 trở lên,Trên 10 năm,Nhỏ,Thương mại-Dịch vụ,2,2,2,2,2,3,3,3,2,2,2,2
R220,Nữ,50 trở lên,6-10 năm,Siêu nhỏ,Thương mại-Dịch vụ,2,3,3,2,2,4,4,3,3,3,3,5
R221,Nam,50 trở lên,6-10 năm,Nhỏ,Sản xuất,2,2,3,3,2,3,2,2,2,3,1,1
